is_act;filters_categories;translation_key;value;pri_trans;primary_translation;sec_trans;secondary_translation;pri_desc;primary_description;sec_desc;secondary_description
1;filters-translations-categories-apps;app-text-site-city;;1;Cape Town;1;Kaapstad;0;;0;
1;filters-translations-categories-apps;app-text-site-cookie;;1;Cookie Statement;1;Koekie verklaring;1;This website uses cookies to ensure you get the best experience on our website. See our;1;Hierdie webwerf gebruik koekies om te verseker dat jy die beste ervaring op ons webwerf kry. Sien ons
1;filters-translations-categories-apps;app-text-site-copyright;;1;Copyright;1;Kopiereg;0;;0;
